Римма;Беликова;РГГУ;ИЭУиП;КОР;1;19;1;Москва;w;
Екатерина;Молчанова;РГГУ;ИЭУиП;КОР;1;19;1;Москва;m;
Милена;Вавилова;РГГУ;ИЭУиП;КОР;1;19;1;Москва;w;
Акулина;Федорова;РГГУ;ИЭУиП;КОР;1;18;1;Москва;w;
Милана;Дьяконова;РГГУ;ИЭУиП;КОР;1;18;1;Москва;w;
Шелли;Розанова;РГГУ;ИЭУиП;КОР;1;19;1;Москва;w;
Ангелина;Гаврилова;РГГУ;ИЭУиП;КОР;1;18;1;Москва;m;
Вита;Головина;РГГУ;ИЭУиП;КОР;1;19;1;Москва;w;
Ника;Зубкова;РГГУ;ИЭУиП;КОР;1;18;2;Москва;m;
Антонина;Мельникова;РГГУ;ИЭУиП;КОР;1;20;2;Москва;m;
Даяна;Лапина;РГГУ;ИЭУиП;КОР;1;18;2;Москва;m;
Валентина;Некрасова;РГГУ;ИЭУиП;КОР;1;18;2;Москва;m;
Раиса;Филатова;РГГУ;ИЭУиП;КОР;1;19;2;Москва;m;
Клавдия;Круглова;РГГУ;ИЭУиП;КОР;1;18;2;Москва;m;
Мирра;Козырева;РГГУ;ИЭУиП;КОР;1;19;2;Москва;m;
Алла;Матвеева;РГГУ;ИЭУиП;КОР;1;19;2;Москва;m;
Саки;Кудрявцева;РГГУ;ИЭУиП;КОР;1;20;3;Москва;m;
Леся;Озерова;РГГУ;ИЭУиП;КОР;1;25;3;Москва;m;
Тина;Курочкина;РГГУ;ИЭУиП;КОР;1;20;3;Москва;w;
Каролина;Владимирова;РГГУ;ИЭУиП;КОР;1;25;3;Москва;w;
Милена;Сотникова;РГГУ;ИЭУиП;КОР;1;18;3;Москва;w;
Оксана;Данилова;РГГУ;ИЭУиП;КОР;1;19;3;Москва;w;
Александра;Козлова;РГГУ;ИЭУиП;КОР;1;19;3;Москва;m;
Луиза;Борисова;РГГУ;ИЭУиП;КОР;1;20;3;Москва;m;
Роксана;Пантелеева;РГГУ;ИЭУиП;КОР;2;18;1;Москва;w;
Шолпан;Столярова;РГГУ;ИЭУиП;КОР;2;18;1;Москва;w;
Никита;Власова;РГГУ;ИЭУиП;КОР;2;18;1;Москва;w;
Элина;Рябинина;РГГУ;ИЭУиП;КОР;2;20;1;Москва;w;
Екатерина;Горячева;РГГУ;ИЭУиП;КОР;2;19;1;Москва;w;
Стефания;Митрофанова;РГГУ;ИЭУиП;КОР;2;20;1;Москва;w;
Илона;Котова;РГГУ;ИЭУиП;КОР;2;20;1;Москва;m;
Эльвира;Окулова;РГГУ;ИЭУиП;КОР;2;18;1;Москва;w;
Антонина;Круглова;РГГУ;ИЭУиП;КОР;2;39;2;Москва;w;
Шелли;Снегирева;РГГУ;ИЭУиП;КОР;2;20;2;Москва;w;
Майя;Петрова;РГГУ;ИЭУиП;КОР;2;20;2;Москва;m;
Ангелина;Филатова;РГГУ;ИЭУиП;КОР;2;20;2;Москва;w;
Нелли;Черепанова;РГГУ;ИЭУиП;КОР;2;19;2;Москва;w;
Ирина;Калугина;РГГУ;ИЭУиП;КОР;2;20;2;Москва;w;
Анжелика;Олейникова;РГГУ;ИЭУиП;КОР;2;32;2;Москва;w;
Софья;Алехина;РГГУ;ИЭУиП;КОР;2;18;2;Москва;m;
Тина;Алексеева;РГГУ;ИЭУиП;КОР;2;20;3;Москва;w;
Изольда;Зыкова;РГГУ;ИЭУиП;КОР;2;20;3;Москва;w;
Роксана;Соболева;РГГУ;ИЭУиП;КОР;2;20;3;Москва;w;
Даяна;Ширяева;РГГУ;ИЭУиП;КОР;2;20;3;Москва;m;
Юна;Дружинина;РГГУ;ИЭУиП;КОР;2;19;3;Москва;m;
Савва;Волкова;РГГУ;ИЭУиП;КОР;2;36;3;Москва;m;
Гульмира;Дружинина;РГГУ;ИЭУиП;КОР;2;19;3;Москва;w;
Мия;Яковлева;РГГУ;ИЭУиП;КОР;2;19;3;Москва;w;
Надежда;Баженова;РГГУ;ИЭУиП;КОР;3;18;1;Москва;m;
Шарлотта;Фирсова;РГГУ;ИЭУиП;КОР;3;18;1;Москва;m;
Яна;Гуляева;РГГУ;ИЭУиП;КОР;3;19;1;Москва;m;
Ася;Шестакова;РГГУ;ИЭУиП;КОР;3;18;1;Москва;w;
Есения;Моргунова;РГГУ;ИЭУиП;КОР;3;19;1;Москва;w;
Аделина;Черепанова;РГГУ;ИЭУиП;КОР;3;19;1;Москва;w;
Гарри;Николаева;РГГУ;ИЭУиП;КОР;3;18;1;Москва;m;
Магдалина;Коновалова;РГГУ;ИЭУиП;КОР;3;20;1;Москва;w;
Евдокия;Сухова;РГГУ;ИЭУиП;КОР;3;25;2;Москва;m;
Паула;Соболева;РГГУ;ИЭУиП;КОР;3;27;2;Москва;w;
Валентина;Чеснокова;РГГУ;ИЭУиП;КОР;3;18;2;Москва;w;
Нелли;Троицкийа;РГГУ;ИЭУиП;КОР;3;18;2;Москва;w;
Альбина;Комиссарова;РГГУ;ИЭУиП;КОР;3;18;2;Москва;m;
Эмилия;Касаткина;РГГУ;ИЭУиП;КОР;3;18;2;Москва;w;
Эмма;Коновалова;РГГУ;ИЭУиП;КОР;3;18;2;Москва;m;
Лариса;Мартынова;РГГУ;ИЭУиП;КОР;3;18;2;Москва;m;
Стелла;Козина;РГГУ;ИЭУиП;КОР;3;18;3;Москва;w;
Камилла;Савина;РГГУ;ИЭУиП;КОР;3;18;3;Москва;m;
Раиса;Гусева;РГГУ;ИЭУиП;КОР;3;18;3;Москва;m;
Нелли;Емельянова;РГГУ;ИЭУиП;КОР;3;20;3;Москва;m;
Шелли;Морозова;РГГУ;ИЭУиП;КОР;3;19;3;Москва;w;
Юма;Ларина;РГГУ;ИЭУиП;КОР;3;18;3;Москва;w;
Кристина;Черкасова;РГГУ;ИЭУиП;КОР;3;36;3;Москва;m;
Вера;Кузина;РГГУ;ИЭУиП;КОР;3;18;3;Москва;m;
Нинель;Власова;РГГУ;ИЭУиП;КОР;4;20;1;Москва;m;
Фрида;Афанасьева;РГГУ;ИЭУиП;КОР;4;18;1;Москва;m;
Глория;Самойлова;РГГУ;ИЭУиП;КОР;4;20;1;Москва;w;
Снежана;Ермакова;РГГУ;ИЭУиП;КОР;4;18;1;Москва;w;
Александра;Голованова;РГГУ;ИЭУиП;КОР;4;18;1;Москва;m;
Динара;Герасимова;РГГУ;ИЭУиП;КОР;4;18;1;Москва;w;
Дарья;Воронкова;РГГУ;ИЭУиП;КОР;4;20;1;Москва;m;
Саки;Сухарева;РГГУ;ИЭУиП;КОР;4;33;1;Москва;m;
Такеши;Титова;РГГУ;ИЭУиП;КОР;4;20;2;Москва;w;
Альбина;Чижова;РГГУ;ИЭУиП;КОР;4;19;2;Москва;m;
Юма;Кошелева;РГГУ;ИЭУиП;КОР;4;19;2;Москва;w;
Алевтина;Парфенова;РГГУ;ИЭУиП;КОР;4;33;2;Москва;m;
Савва;Корнева;РГГУ;ИЭУиП;КОР;4;29;2;Москва;m;
Ия;Малахова;РГГУ;ИЭУиП;КОР;4;18;2;Москва;w;
Эмили;Князева;РГГУ;ИЭУиП;КОР;4;19;2;Москва;m;
Элеонора;Ковалева;РГГУ;ИЭУиП;КОР;4;20;2;Москва;m;
Ксения;Глушкова;РГГУ;ИЭУиП;КОР;4;26;3;Москва;m;
Нинель;Токарева;РГГУ;ИЭУиП;КОР;4;18;3;Москва;m;
Валентина;Горлова;РГГУ;ИЭУиП;КОР;4;20;3;Москва;m;
Чарли;Воронина;РГГУ;ИЭУиП;КОР;4;20;3;Москва;m;
Венера;Исаева;РГГУ;ИЭУиП;КОР;4;19;3;Москва;w;
Полина;Суханова;РГГУ;ИЭУиП;КОР;4;19;3;Москва;w;
Эмили;Кулагина;РГГУ;ИЭУиП;КОР;4;20;3;Москва;m;
София;Виноградова;РГГУ;ИЭУиП;КОР;4;20;3;Москва;w;
Элина;Троицкийа;РГГУ;ИЭУиП;КОР;5;19;1;Москва;w;
Алевтина;Федорова;РГГУ;ИЭУиП;КОР;5;18;1;Москва;m;
Римма;Кузнецова;РГГУ;ИЭУиП;КОР;5;19;1;Москва;w;
Диана;Ермилова;РГГУ;ИЭУиП;КОР;5;18;1;Москва;m;
Алсу;Касаткина;РГГУ;ИЭУиП;КОР;5;18;1;Москва;w;
Диана;Сычева;РГГУ;ИЭУиП;КОР;5;20;1;Москва;m;
Снежана;Шмелева;РГГУ;ИЭУиП;КОР;5;18;1;Москва;m;
Иветта;Маркина;РГГУ;ИЭУиП;КОР;5;18;1;Москва;w;
Оливия;Куприянова;РГГУ;ИЭУиП;КОР;5;19;2;Москва;w;
Эльза;Фетисова;РГГУ;ИЭУиП;КОР;5;20;2;Москва;w;
Фаина;Сухова;РГГУ;ИЭУиП;КОР;5;20;2;Москва;m;
Ася;Потапова;РГГУ;ИЭУиП;КОР;5;20;2;Москва;w;
Инесса;Агеева;РГГУ;ИЭУиП;КОР;5;18;2;Москва;w;
Виктория;Булгакова;РГГУ;ИЭУиП;КОР;5;19;2;Москва;w;
Серафима;Носова;РГГУ;ИЭУиП;КОР;5;18;2;Москва;w;
Маргарита;Денисова;РГГУ;ИЭУиП;КОР;5;20;2;Москва;w;
Лика;Калугина;РГГУ;ИЭУиП;КОР;5;20;3;Москва;m;
Элина;Киселева;РГГУ;ИЭУиП;КОР;5;20;3;Москва;m;
Ванда;Волошина;РГГУ;ИЭУиП;КОР;5;20;3;Москва;w;
Гарри;Панова;РГГУ;ИЭУиП;КОР;5;18;3;Москва;m;
Динара;Волкова;РГГУ;ИЭУиП;КОР;5;19;3;Москва;w;
Клариса;Бессонова;РГГУ;ИЭУиП;КОР;5;19;3;Москва;w;
Аврора;Добрынина;РГГУ;ИЭУиП;КОР;5;22;3;Москва;m;
Лада;Мешкова;РГГУ;ИЭУиП;КОР;5;19;3;Москва;m;
Анфиса;Корнева;РГГУ;ИЭУиП;КОР;6;26;1;Москва;w;
Шолпан;Сальникова;РГГУ;ИЭУиП;КОР;6;19;1;Москва;w;
Дина;Кочетова;РГГУ;ИЭУиП;КОР;6;20;1;Москва;w;
Лада;Макеева;РГГУ;ИЭУиП;КОР;6;20;1;Москва;w;
